attributeName,attributeDefinition,n,ECSO_ID
SST,Sea surface temperature,2,
SST,Sea Surface Temperature,2,
ST_1_AVG,Soil temperature at 10 cm depth,2,
ST_2_AVG,Soil temperature at 20 cm depth,2,
ST_3_AVG,Soil temperature at 20 cm depth,2,
ST_4_AVG,Soil temperature at 0 cm depth,2,
ST_5_AVG,Soil temperature at 10 cm depth,2,
ST_6_AVG,Soil temperature at 20 cm depth,2,
Stake,Plot stake identifier,2,
Stanley Sample #,Exact sample number for the sample. Useful is any inquiries need to be made about a sample.,2,
Start_time,Time at which the survey began,2,
Station,name of station,2,
Std Err (Soil Moisture),standard error of mean volumetric soil moisture,2,
Std Err (Soil Temperature (°C)),standard error of mean soil temperature,2,
Std..Err.,Standard Error of the mean for species and tissue type.,2,
Std..Err..g.m2,Standard error of the mean in grams per square meter,2,
Stn,Assigned by the BGOS/JOIS program. Will be useful to researchers who are trying to connect data to other data collected on the BGOS/JOIS cruises.,2,
T_G,Average surface soil heat flux (Wm-2),2,
T_H,Sensible heat flux (Wm-2),2,
T_LE,Corrected latent heat flux (Wm-2),2,
TA_unc,"TA uncertainy, ""unc"" refers to the standard deviation of the measurement",2,
TARE ,Tare weight,2,
TD1,First measurement of thaw depth at point. The value means depth from soil surface to frozen ground level,2,
TD2,Second measurement of thaw depth at point. The value means depth from soil surface to frozen ground level,2,
TD3,Third measurement of thaw depth at point. The value means depth from soil surface to frozen ground level,2,
temp,Temperature,2,
Temp,Surface Temperature at intake,2,
Temp,temperature in celsius,2,
TEMP_EQU,Temperature recorded from inside the equilibrator,2,
TempSed-10cm_C,Temperature of the lake sediment at 10 centimeters depth below the lake bed,2,
terrace,Coastal terrace of collection (#1-3),2,
tiller_count,number of Carex tillers inside neighborhood,2,
time,Time of measurement,2,
Time,The date and time of the data in UTC format.,2,
Time,Time in UTC; Values reported always correspond to the subsequent time interval (e.g. 13:00 corresponds to the time interval 13:00 to 14:00 in the case of the hourly data).,2,
Time,Time when the flux was collected,2,
TIME_UTC,Time,2,
timestamp,timestamp of observation,2,
TL,Monin-Obukov length (m),2,
TM,"""Local time, Zone 11 of Russian Federation, GMT+12 or GMT+13(DST)""
",2,
TMEANH2O,Mean Licor weight fraction water vapour (g.kg-1),2,
TMEANP,Mean Licor internal pressure (Kpa),2,
TMEANT,Mean absolute (virtual corrected) sonic temperature (oC),2,
TMEANWD,Mean horizontal wind direction of sonic (205cm) (m.s-1),2,
TMEANWS,Mean horizontal wind speed of sonic (205cm) (m.s-1),2,
Total_alkalinity,"total alkalinity, measure of how much of the alkaline substances there are in the water",2,
TowNo,Tow number,2,
TPAR,Par (umol.m-2.s-1),2,
TPRESS,Pressure (mb),2,
TPYR,Pyranometer (Wm-2),2,
TRAIN,Rain total (mm),2,
Transect,"Direction of transect from tower position: ""0 = North, 90 = East, 180 = South, etc.""",2,
TRANSECT,Transect number-located southeast of the Dalton Highway between the road and the Sagavanirktok River.,2,
treatment,"c is control, e is snow removal only, h is snow removal plus soil heating at 10 cm depth using greenhouse cold frame heating cables, and plots were heated 2 hours per day",2,
treatment,"treatment label - Air warming refers to presence of an open top chamber, Soil warming refers to the winter warmed plots in which increased snow cover produces elevated soil temperatures, Air & Soil warming refers to open top chamber and increased snow depth treatments, Ambient refers to no air or soil warming treatment.  C=control; D=drying treatment",2,
treatment,treatment type,2,
tree,Tree Sample Number,2,
TRH1,Relative humidity 590cm (%),2,
TRH2,Relative Humidity 200cm (%),2,
trt,Treatment type,2,
TRUE_N,orientation of the sonic anemometer rel. to geographic north,2,
Tsurf,Surface temperature from infrared sensor,2,
TUSTAR,Friction velocity (m/s),2,
TWS1,Wind speed 1000cm (m.s-1),2,
TWS2,wind speed 760cm (m.s-1),2,
TWS3,Wind speed 425cm (m.s-1),2,
u*,Friction velocity,2,
UCID_DIC_samples,Lab number for DIC samples,2,
UCID_DOC_samples,Lab number for this DOC samples,2,
"Upper_left, Lower_left, Upper_right, Lower_right",Color band(s) applied to upper left leg (above the tarsal joint); Color band(s) applied to lower left leg below the tarsal joint); Color band(s) applied to upper right leg (above the tarsal joint); Color band(s) applied to lower right leg below the tarsal joint),2,
v0,Voltage 0,2,
v6,Voltage 6,2,
Water_depth,Water depth,2,
WD,"Wind direction 
",2,
WET_WEIGHT_PLUS_TARE ,Wet weight plus tare weight,2,
Wind direction,Direction the wind comes from,2,
Wind Speed,Magnitude of wind,2,
Wind_Speed,"Wind speed measurement, m/sec",2,
winddir,Wind direction,2,
WindDir,Wind direction in degrees,2,
windspd,Wind speed,2,
WPL w'E',Evapotranspiration,2,
WS,Horizontal wind speed,2,
ws 100 cm,Wind speed at 100 cm AGL,2,
WS 25 cm,Wind speed at 25 cm AGL,2,
WS_ms_Avg,Average wind speed in m/s,2,
WS_ms_Max,Maximum wind speed in m/s,2,
WS_ms_TMx,Time of maximum wind speed,2,
WT,"Water table at point. ""Depth from soil surface to water table surface, 0 = water table at soil surface. Only points 4 and 8 in each transect had water table holes""",2,
Year,Year data was measured,2,
yyyy-mm-dd hh:mm,The date the sample was collected,2,
Z,sonic anemometer height over ground,2,
z_m_firn_CO,firn depth for CO (ppbv) measurements,2,
 float cdr_surface_downwelling_shortwave_flux,NOAA CDR of surface downwelling shortwave radiative flux,1,
 P4_SolT5_AVG  L,Soil temperature in profile 4 at the indicated depth (volumetric water content %),1,
 short fcdr_reflectance_ch1,NOAA CDR of AVHRR ch1 (0.58 um to 0.68 um) reflectance without solar zenith angle correction,1,
 SS_Tl_R_AVG  L,Solar radiation,1,
 SWC_2_AVG  L,Soil moisture at the indicated depth (volumetric water content %),1,
# replicates,"Number of replicates of the same CNCODE sample, or designated as replicate",1,
% soil moisture,Percent moisture in the soil: (wet - dry weight)/wet weight * 100,1,
%_Moisture,Percent soil moisture,1,
%N,nitrogen concentration in tissue,1,
%soil moisture,Percent moisture in the sedminet: (wet - dry weight)/wet weight * 100,1,
0.1,Recorded temperature in celsius by the logger at 0.1 meters depth,1,
0.3,Recorded temperature in celsius by the logger at 0.3 meters depth,1,
0.47,Recorded temperature in celsius by the logger at 0.47 meters depth,1,
0.62,Recorded temperature in celsius by the logger at 0.62 meters depth,1,
0.67,Recorded temperature in celsius by the logger at 0.67 meters depth,1,
0.7,Recorded temperature in celsius by the logger at 0.7 meters depth,1,
0.73,Recorded temperature in celsius by the logger at 0.73 meters depth,1,
0.75,Recorded temperature in celsius by the logger at 0.75 meters depth,1,
0.77,Recorded temperature in celsius by the logger at 0.77 meters depth,1,
0.84,Recorded temperature in celsius by the logger at 0.84 meters depth,1,
0.9,Recorded temperature in celsius by the logger at 0.9 meters depth,1,
0.91,Recorded temperature in celsius by the logger at 0.91 meters depth,1,
0.92,Recorded specific conductance in micro-Siemens per centimeter by the logger at 0.92 meters depth,1,
0.97,Recorded specific conductance in micro-Siemens per centimeter by the logger at 0.97 meters depth,1,
1.01,Recorded temperature in celsius by the logger at 1.01 meters depth,1,
1.05,Recorded temperature in celsius by the logger at 1.05 meters depth,1,
1.06,Recorded temperature in celsius by the logger at 1.06 meters depth,1,
1.09,Recorded temperature in celsius by the logger at 1.09 meters depth,1,
1.13,Recorded temperature in celsius by the logger at 1.13 meters depth,1,
1.14,Recorded temperature in celsius by the logger at 1.14 meters depth,1,
1.23,Recorded temperature in celsius by the logger at 1.23 meters depth,1,
1.26,Recorded temperature in celsius by the logger at 1.26 meters depth,1,
1.28,Recorded temperature in celsius by the logger at 1.28 meters depth,1,
1.3,Recorded temperature in celsius by the logger at 1.3 meters depth,1,
1.34,Recorded temperature in celsius by the logger at 1.34 meters depth,1,
1.36,Recorded temperature in celsius by the logger at 1.36 meters depth,1,
1.38,Recorded temperature in celsius by the logger at 1.38 meters depth,1,
1.39,Recorded temperature in celsius by the logger at 1.39 meters depth,1,
1.4,Recorded temperature in celsius by the logger at 1.4 meters depth,1,
1.44,Recorded temperature in celsius by the logger at 1.44 meters depth,1,
1.47,Recorded temperature in celsius by the logger at 1.47 meters depth,1,
1.5,Recorded temperature in celsius by the logger at 1.5 meters depth,1,
1.51,Recorded temperature in celsius by the logger at 1.51 meters depth,1,
1.52,Recorded specific conductance in micro-Siemens per centimeter by the logger at 1.52 meters depth,1,
1.53,Recorded dissolved oxygen in milligrams per liter by the logger at 1.53 meters depth,1,
1.55,Recorded temperature in celsius by the logger at 1.55 meters depth,1,
1.62,Recorded temperature in celsius by the logger at 1.62 meters depth,1,
1.63,Recorded temperature in celsius by the logger at 1.63 meters depth,1,
1.64,Recorded temperature in celsius by the logger at 1.64 meters depth,1,
1.65,Recorded temperature in celsius by the logger at 1.65 meters depth,1,
1.66,Recorded temperature in celsius by the logger at 1.66 meters depth,1,
1.67,Recorded temperature in celsius by the logger at 1.67 meters depth,1,
1.7,Recorded temperature in celsius by the logger at 1.7 meters depth,1,
1.76,Recorded temperature in celsius by the logger at 1.76 meters depth,1,
1.81,Recorded temperature in celsius by the logger at 1.81 meters depth,1,
1.86,Recorded temperature in celsius by the logger at 1.86 meters depth,1,
1.87,Recorded temperature in celsius by the logger at 1.87 meters depth,1,
1.88,Recorded temperature in celsius by the logger at 1.88 meters depth,1,
1.91,Recorded temperature in celsius by the logger at 1.91 meters depth,1,
1.92,Recorded temperature in celsius by the logger at 1.92 meters depth,1,
1.94,Recorded temperature in celsius by the logger at 1.94 meters depth,1,
10.03,Recorded temperature in celsius by the logger at 10.03 meters depth,1,
10.04,Recorded dissolved oxygen in milligrams per liter by the logger at 10.04 meters depth,1,
10.04,Recorded temperature in celsius by the logger at 10.04 meters depth,1,
10.05,Recorded temperature in celsius by the logger at 10.05 meters depth,1,
10.12,Recorded temperature in celsius by the logger at 10.12 meters depth,1,
10.14,Recorded temperature in celsius by the logger at 10.14 meters depth,1,
10.16,Recorded temperature in celsius by the logger at 10.16 meters depth,1,
10.18,Recorded temperature in celsius by the logger at 10.18 meters depth,1,
10.22,Recorded temperature in celsius by the logger at 10.22 meters depth,1,
10.3,Recorded temperature in celsius by the logger at 10.3 meters depth,1,
10.4,Recorded temperature in celsius by the logger at 10.4 meters depth,1,
10.55,Recorded specific conductance in micro-Siemens per centimeter by the logger at 10.55 meters depth,1,
10.64,Recorded temperature in celsius by the logger at 10.64 meters depth,1,
10.66,Recorded temperature in celsius by the logger at 10.66 meters depth,1,
10.67,Recorded temperature in celsius by the logger at 10.67 meters depth,1,
10.81,Recorded dissolved oxygen in milligrams per liter by the logger at 10.81 meters depth,1,
10.81,Recorded specific conductance in micro-Siemens per centimeter by the logger at 10.81 meters depth,1,
10.82,Recorded temperature in celsius by the logger at 10.82 meters depth,1,
10.87,Recorded specific conductance in micro-Siemens per centimeter by the logger at 10.87 meters depth,1,
10.87,Recorded temperature in celsius by the logger at 10.87 meters depth,1,
10.97,Recorded temperature in celsius by the logger at 10.97 meters depth,1,
10cmT,soil temperature at 10 cm,1,
11.01,Recorded dissolved oxygen in milligrams per liter by the logger at 11.01 meters depth,1,
11.01,Recorded specific conductance in micro-Siemens per centimeter by the logger at 11.01 meters depth,1,
11.03,Recorded temperature in celsius by the logger at 11.03 meters depth,1,
11.04,Recorded temperature in celsius by the logger at 11.04 meters depth,1,
11.14,Recorded temperature in celsius by the logger at 11.14 meters depth,1,
11.16,Recorded temperature in celsius by the logger at 11.16 meters depth,1,
11.18,Recorded temperature in celsius by the logger at 11.18 meters depth,1,
11.22,Recorded temperature in celsius by the logger at 11.22 meters depth,1,
11.3,Recorded temperature in celsius by the logger at 11.3 meters depth,1,
11.31,Recorded specific conductance in micro-Siemens per centimeter by the logger at 11.31 meters depth,1,
11.42,Recorded specific conductance in micro-Siemens per centimeter by the logger at 11.42 meters depth,1,
11.46,Recorded temperature in celsius by the logger at 11.46 meters depth,1,
11.67,Recorded temperature in celsius by the logger at 11.67 meters depth,1,
11.72,Recorded temperature in celsius by the logger at 11.72 meters depth,1,
11.92,Recorded specific conductance in micro-Siemens per centimeter by the logger at 11.92 meters depth,1,
12.03,Recorded temperature in celsius by the logger at 12.03 meters depth,1,
12.04,Recorded temperature in celsius by the logger at 12.04 meters depth,1,
12.16,Recorded temperature in celsius by the logger at 12.16 meters depth,1,
12.18,Recorded temperature in celsius by the logger at 12.18 meters depth,1,
12.32,Recorded specific conductance in micro-Siemens per centimeter by the logger at 12.32 meters depth,1,
12.36,Recorded temperature in celsius by the logger at 12.36 meters depth,1,
12.66,Recorded specific conductance in micro-Siemens per centimeter by the logger at 12.66 meters depth,1,
12.78,Recorded dissolved oxygen in milligrams per liter by the logger at 12.78 meters depth,1,
12.78,Recorded specific conductance in micro-Siemens per centimeter by the logger at 12.78 meters depth,1,
12.8,Recorded temperature in celsius by the logger at 12.8 meters depth,1,
12.91,Recorded dissolved oxygen in milligrams per liter by the logger at 12.91 meters depth,1,
13.03,Recorded temperature in celsius by the logger at 13.03 meters depth,1,
13.08,Recorded dissolved oxygen in milligrams per liter by the logger at 13.08 meters depth,1,
13.08,Recorded specific conductance in micro-Siemens per centimeter by the logger at 13.08 meters depth,1,
13.1,Recorded specific conductance in micro-Siemens per centimeter by the logger at 13.1 meters depth,1,
13.13,Recorded temperature in celsius by the logger at 13.13 meters depth,1,
13.16,Recorded temperature in celsius by the logger at 13.16 meters depth,1,
13.22,Recorded temperature in celsius by the logger at 13.22 meters depth,1,
13.28,Recorded temperature in celsius by the logger at 13.28 meters depth,1,
14.03,Recorded temperature in celsius by the logger at 14.03 meters depth,1,
14.13,Recorded temperature in celsius by the logger at 14.13 meters depth,1,
14.16,Recorded temperature in celsius by the logger at 14.16 meters depth,1,
14.3,Recorded temperature in celsius by the logger at 14.3 meters depth,1,
14.72,Recorded temperature in celsius by the logger at 14.72 meters depth,1,
14.81,Recorded temperature in celsius by the logger at 14.81 meters depth,1,
14C_age,carbon-14 age,1,
14C_age_moe,carbon-14 age margin of error,1,
15.03,Recorded specific conductance in micro-Siemens per centimeter by the logger at 15.03 meters depth,1,
15.03,Recorded temperature in celsius by the logger at 15.03 meters depth,1,
15.08,Recorded dissolved oxygen in milligrams per liter by the logger at 15.08 meters depth,1,
15.08,Recorded specific conductance in micro-Siemens per centimeter by the logger at 15.08 meters depth,1,
15.08,Recorded temperature in celsius by the logger at 15.08 meters depth,1,
15.13,Recorded dissolved oxygen in milligrams per liter by the logger at 15.13 meters depth,1,
15.16,Recorded temperature in celsius by the logger at 15.16 meters depth,1,
15.66,Recorded dissolved oxygen in milligrams per liter by the logger at 15.66 meters depth,1,
15.66,Recorded specific conductance in micro-Siemens per centimeter by the logger at 15.66 meters depth,1,
15.8,Recorded temperature in celsius by the logger at 15.8 meters depth,1,
15cmT,soil temperature at 15cm,1,
15N,Amount of 15N in sample,1,
16,Recorded dissolved oxygen in milligrams per liter by the logger at 16 meters depth,1,
16.03,Recorded temperature in celsius by the logger at 16.03 meters depth,1,
16.08,Recorded temperature in celsius by the logger at 16.08 meters depth,1,
16.16,Recorded temperature in celsius by the logger at 16.16 meters depth,1,
16.22,Recorded temperature in celsius by the logger at 16.22 meters depth,1,
16.38,Recorded specific conductance in micro-Siemens per centimeter by the logger at 16.38 meters depth,1,
16.38,Recorded temperature in celsius by the logger at 16.38 meters depth,1,
17.03,Recorded temperature in celsius by the logger at 17.03 meters depth,1,
17.08,Recorded temperature in celsius by the logger at 17.08 meters depth,1,
17.16,Recorded temperature in celsius by the logger at 17.16 meters depth,1,
17.3,Recorded temperature in celsius by the logger at 17.3 meters depth,1,
17.82,Recorded temperature in celsius by the logger at 17.82 meters depth,1,
17.9,Recorded temperature in celsius by the logger at 17.9 meters depth,1,
18.03,Recorded temperature in celsius by the logger at 18.03 meters depth,1,
18.08,Recorded temperature in celsius by the logger at 18.08 meters depth,1,
18.16,Recorded temperature in celsius by the logger at 18.16 meters depth,1,
18.41,Recorded dissolved oxygen in milligrams per liter by the logger at 18.41 meters depth,1,
18.66,Recorded specific conductance in micro-Siemens per centimeter by the logger at 18.66 meters depth,1,
18.8,Recorded temperature in celsius by the logger at 18.8 meters depth,1,
18.97,Recorded temperature in celsius by the logger at 18.97 meters depth,1,
18O,Water vapor isotope,1,
19.03,Recorded temperature in celsius by the logger at 19.03 meters depth,1,
19.08,Recorded temperature in celsius by the logger at 19.08 meters depth,1,
19.16,Recorded temperature in celsius by the logger at 19.16 meters depth,1,
19.53,Recorded dissolved oxygen in milligrams per liter by the logger at 19.53 meters depth,1,
19.53,Recorded temperature in celsius by the logger at 19.53 meters depth,1,
19.78,Recorded specific conductance in micro-Siemens per centimeter by the logger at 19.78 meters depth,1,
19.83,Recorded dissolved oxygen in milligrams per liter by the logger at 19.83 meters depth,1,
2,Recorded temperature in celsius by the logger at 2 meters depth,1,
2.05,Recorded temperature in celsius by the logger at 2.05 meters depth,1,
2.11,Recorded temperature in celsius by the logger at 2.11 meters depth,1,
2.12,Recorded temperature in celsius by the logger at 2.12 meters depth,1,
2.13,Recorded temperature in celsius by the logger at 2.13 meters depth,1,
2.15,Recorded temperature in celsius by the logger at 2.15 meters depth,1,
2.19,Recorded temperature in celsius by the logger at 2.19 meters depth,1,
2.22,Recorded temperature in celsius by the logger at 2.22 meters depth,1,
2.25,Recorded temperature in celsius by the logger at 2.25 meters depth,1,
2.26,Recorded temperature in celsius by the logger at 2.26 meters depth,1,
2.3,Recorded specific conductance in micro-Siemens per centimeter by the logger at 2.3 meters depth,1,
2.33,Recorded temperature in celsius by the logger at 2.33 meters depth,1,
2.43,Recorded temperature in celsius by the logger at 2.43 meters depth,1,
2.44,Recorded temperature in celsius by the logger at 2.44 meters depth,1,
2.47,Recorded temperature in celsius by the logger at 2.47 meters depth,1,
2.53,Recorded dissolved oxygen in milligrams per liter by the logger at 2.53 meters depth,1,
2.54,Recorded dissolved oxygen in milligrams per liter by the logger at 2.54 meters depth,1,
2.58,Recorded specific conductance in micro-Siemens per centimeter by the logger at 2.58 meters depth,1,
2.6,Recorded specific conductance in micro-Siemens per centimeter by the logger at 2.6 meters depth,1,
2.61,Recorded temperature in celsius by the logger at 2.61 meters depth,1,
2.66,Recorded dissolved oxygen in milligrams per liter by the logger at 2.66 meters depth,1,
2.66,Recorded specific conductance in micro-Siemens per centimeter by the logger at 2.66 meters depth,1,
2.66,Recorded temperature in celsius by the logger at 2.66 meters depth,1,
2.67,Recorded temperature in celsius by the logger at 2.67 meters depth,1,
2.68,Recorded dissolved oxygen in milligrams per liter by the logger at 2.68 meters depth,1,
2.68,Recorded specific conductance in micro-Siemens per centimeter by the logger at 2.68 meters depth,1,
2.76,Recorded temperature in celsius by the logger at 2.76 meters depth,1,
2.77,Recorded dissolved oxygen in milligrams per liter by the logger at 2.77 meters depth,1,
2.77,Recorded specific conductance in micro-Siemens per centimeter by the logger at 2.77 meters depth,1,
2.8,Recorded temperature in celsius by the logger at 2.8 meters depth,1,
2.82,Recorded temperature in celsius by the logger at 2.82 meters depth,1,
2.84,Recorded dissolved oxygen in milligrams per liter by the logger at 2.84 meters depth,1,
2.85,Recorded specific conductance in micro-Siemens per centimeter by the logger at 2.85 meters depth,1,
2.87,Recorded temperature in celsius by the logger at 2.87 meters depth,1,
2.89,Recorded temperature in celsius by the logger at 2.89 meters depth,1,
2.9,Recorded temperature in celsius by the logger at 2.9 meters depth,1,
2.93,Recorded dissolved oxygen in milligrams per liter by the logger at 2.93 meters depth,1,
2.94,Recorded specific conductance in micro-Siemens per centimeter by the logger at 2.94 meters depth,1,
2.94,Recorded temperature in celsius by the logger at 2.94 meters depth,1,
2.96,Recorded temperature in celsius by the logger at 2.96 meters depth,1,
20.03,Recorded specific conductance in micro-Siemens per centimeter by the logger at 20.03 meters depth,1,
20.03,Recorded temperature in celsius by the logger at 20.03 meters depth,1,
20.08,Recorded temperature in celsius by the logger at 20.08 meters depth,1,
20.16,Recorded temperature in celsius by the logger at 20.16 meters depth,1,
20.2,Recorded dissolved oxygen in milligrams per liter by the logger at 20.2 meters depth,1,
20.3,Recorded temperature in celsius by the logger at 20.3 meters depth,1,
20.36,Recorded dissolved oxygen in milligrams per liter by the logger at 20.36 meters depth,1,
20.41,Recorded dissolved oxygen in milligrams per liter by the logger at 20.41 meters depth,1,
20.6,Recorded specific conductance in micro-Siemens per centimeter by the logger at 20.6 meters depth,1,
20.66,Recorded specific conductance in micro-Siemens per centimeter by the logger at 20.66 meters depth,1,
20.74,Recorded temperature in celsius by the logger at 20.74 meters depth,1,
20cmT,soil temperature at 20cm,1,
21.03,Recorded temperature in celsius by the logger at 21.03 meters depth,1,
21.16,Recorded temperature in celsius by the logger at 21.16 meters depth,1,
21.51,Recorded temperature in celsius by the logger at 21.51 meters depth,1,
21.53,Recorded dissolved oxygen in milligrams per liter by the logger at 21.53 meters depth,1,
21.58,Recorded specific conductance in micro-Siemens per centimeter by the logger at 21.58 meters depth,1,
21.78,Recorded temperature in celsius by the logger at 21.78 meters depth,1,
21.93,Recorded dissolved oxygen in milligrams per liter by the logger at 21.93 meters depth,1,
21.98,Recorded specific conductance in micro-Siemens per centimeter by the logger at 21.98 meters depth,1,
22.16,Recorded temperature in celsius by the logger at 22.16 meters depth,1,
22.41,Recorded dissolved oxygen in milligrams per liter by the logger at 22.41 meters depth,1,
22.66,Recorded specific conductance in micro-Siemens per centimeter by the logger at 22.66 meters depth,1,
2H,Water vapor isotope,1,
3.02,Recorded dissolved oxygen in milligrams per liter by the logger at 3.02 meters depth,1,
3.03,Recorded temperature in celsius by the logger at 3.03 meters depth,1,
3.05,Recorded temperature in celsius by the logger at 3.05 meters depth,1,
3.12,Recorded temperature in celsius by the logger at 3.12 meters depth,1,
3.13,Recorded temperature in celsius by the logger at 3.13 meters depth,1,
3.15,Recorded temperature in celsius by the logger at 3.15 meters depth,1,
3.16,Recorded specific conductance in micro-Siemens per centimeter by the logger at 3.16 meters depth,1,
3.16,Recorded temperature in celsius by the logger at 3.16 meters depth,1,
3.17,Recorded dissolved oxygen in milligrams per liter by the logger at 3.17 meters depth,1,
3.22,Recorded temperature in celsius by the logger at 3.22 meters depth,1,
3.23,Recorded temperature in celsius by the logger at 3.23 meters depth,1,
3.28,Recorded temperature in celsius by the logger at 3.28 meters depth,1,
3.3,Recorded dissolved oxygen in milligrams per liter by the logger at 3.3 meters depth,1,
3.3,Recorded specific conductance in micro-Siemens per centimeter by the logger at 3.3 meters depth,1,
3.3,Recorded temperature in celsius by the logger at 3.3 meters depth,1,
3.32,Recorded temperature in celsius by the logger at 3.32 meters depth,1,
3.42,Recorded specific conductance in micro-Siemens per centimeter by the logger at 3.42 meters depth,1,
3.45,Recorded dissolved oxygen in milligrams per liter by the logger at 3.45 meters depth,1,
3.45,Recorded specific conductance in micro-Siemens per centimeter by the logger at 3.45 meters depth,1,
3.45,Recorded temperature in celsius by the logger at 3.45 meters depth,1,
3.64,Recorded temperature in celsius by the logger at 3.64 meters depth,1,
3.65,Recorded dissolved oxygen in milligrams per liter by the logger at 3.65 meters depth,1,
3.67,Recorded temperature in celsius by the logger at 3.67 meters depth,1,
3.77,Recorded specific conductance in micro-Siemens per centimeter by the logger at 3.77 meters depth,1,
3.79,Recorded temperature in celsius by the logger at 3.79 meters depth,1,
3.8,Recorded temperature in celsius by the logger at 3.8 meters depth,1,
3.87,Recorded temperature in celsius by the logger at 3.87 meters depth,1,
3.9,Recorded temperature in celsius by the logger at 3.9 meters depth,1,
4,Recorded temperature in celsius by the logger at 4 meters depth,1,
4.03,Recorded specific conductance in micro-Siemens per centimeter by the logger at 4.03 meters depth,1,
4.12,Recorded temperature in celsius by the logger at 4.12 meters depth,1,
4.13,Recorded dissolved oxygen in milligrams per liter by the logger at 4.13 meters depth,1,
4.15,Recorded temperature in celsius by the logger at 4.15 meters depth,1,
4.22,Recorded temperature in celsius by the logger at 4.22 meters depth,1,
4.23,Recorded temperature in celsius by the logger at 4.23 meters depth,1,
4.24,Recorded temperature in celsius by the logger at 4.24 meters depth,1,
4.26,Recorded temperature in celsius by the logger at 4.26 meters depth,1,
4.28,Recorded specific conductance in micro-Siemens per centimeter by the logger at 4.28 meters depth,1,
4.38,Recorded dissolved oxygen in milligrams per liter by the logger at 4.38 meters depth,1,
4.42,Recorded temperature in celsius by the logger at 4.42 meters depth,1,
4.61,Recorded temperature in celsius by the logger at 4.61 meters depth,1,
4.64,Recorded temperature in celsius by the logger at 4.64 meters depth,1,
4.67,Recorded temperature in celsius by the logger at 4.67 meters depth,1,
4.77,Recorded temperature in celsius by the logger at 4.77 meters depth,1,
4.87,Recorded temperature in celsius by the logger at 4.87 meters depth,1,
4.9,Recorded temperature in celsius by the logger at 4.9 meters depth,1,
5.05,Recorded temperature in celsius by the logger at 5.05 meters depth,1,
5.07,Recorded temperature in celsius by the logger at 5.07 meters depth,1,
5.12,Recorded temperature in celsius by the logger at 5.12 meters depth,1,
5.15,Recorded temperature in celsius by the logger at 5.15 meters depth,1,
5.23,Recorded temperature in celsius by the logger at 5.23 meters depth,1,
5.25,Recorded temperature in celsius by the logger at 5.25 meters depth,1,
5.28,Recorded temperature in celsius by the logger at 5.28 meters depth,1,
5.29,Recorded dissolved oxygen in milligrams per liter by the logger at 5.29 meters depth,1,
5.55,Recorded temperature in celsius by the logger at 5.55 meters depth,1,
5.59,Recorded temperature in celsius by the logger at 5.59 meters depth,1,
5.64,Recorded temperature in celsius by the logger at 5.64 meters depth,1,
5.67,Recorded temperature in celsius by the logger at 5.67 meters depth,1,
5.8,Recorded temperature in celsius by the logger at 5.8 meters depth,1,
5.81,Recorded temperature in celsius by the logger at 5.81 meters depth,1,
5.87,Recorded temperature in celsius by the logger at 5.87 meters depth,1,
5.88,Recorded temperature in celsius by the logger at 5.88 meters depth,1,
5.9,Recorded dissolved oxygen in milligrams per liter by the logger at 5.9 meters depth,1,
5.9,Recorded temperature in celsius by the logger at 5.9 meters depth,1,
5.95,Recorded specific conductance in micro-Siemens per centimeter by the logger at 5.95 meters depth,1,
5cmT,soil temperature at 5cm,1,
6.02,Recorded temperature in celsius by the logger at 6.02 meters depth,1,
6.03,Recorded temperature in celsius by the logger at 6.03 meters depth,1,
6.05,Recorded temperature in celsius by the logger at 6.05 meters depth,1,
6.12,Recorded temperature in celsius by the logger at 6.12 meters depth,1,
6.14,Recorded dissolved oxygen in milligrams per liter by the logger at 6.14 meters depth,1,
6.15,Recorded temperature in celsius by the logger at 6.15 meters depth,1,
6.16,Recorded specific conductance in micro-Siemens per centimeter by the logger at 6.16 meters depth,1,
6.16,Recorded temperature in celsius by the logger at 6.16 meters depth,1,
6.18,Recorded temperature in celsius by the logger at 6.18 meters depth,1,
6.2,Recorded specific conductance in micro-Siemens per centimeter by the logger at 6.2 meters depth,1,
6.22,Recorded temperature in celsius by the logger at 6.22 meters depth,1,
6.23,Recorded temperature in celsius by the logger at 6.23 meters depth,1,
6.25,Recorded temperature in celsius by the logger at 6.25 meters depth,1,
6.3,Recorded temperature in celsius by the logger at 6.3 meters depth,1,
6.56,Recorded temperature in celsius by the logger at 6.56 meters depth,1,
6.64,Recorded temperature in celsius by the logger at 6.64 meters depth,1,
6.66,Recorded dissolved oxygen in milligrams per liter by the logger at 6.66 meters depth,1,
6.67,Recorded temperature in celsius by the logger at 6.67 meters depth,1,
6.69,Recorded temperature in celsius by the logger at 6.69 meters depth,1,
6.8,Recorded temperature in celsius by the logger at 6.8 meters depth,1,
6.82,Recorded temperature in celsius by the logger at 6.82 meters depth,1,
6.83,Recorded temperature in celsius by the logger at 6.83 meters depth,1,
6.87,Recorded temperature in celsius by the logger at 6.87 meters depth,1,
6.9,Recorded temperature in celsius by the logger at 6.9 meters depth,1,
7.03,Recorded temperature in celsius by the logger at 7.03 meters depth,1,
7.06,Recorded dissolved oxygen in milligrams per liter by the logger at 7.06 meters depth,1,
7.08,Recorded temperature in celsius by the logger at 7.08 meters depth,1,
